Name,Brand,Notes
Tabac Rose Eau de Parfum,BDK Parfums," Pink pepper from Madagascar, Plum accord, Lemon from Italy, Rose from Turkey, Cinnamon from Madagascar, Chocolate accord, Tobacco absolute from the Balkans, Patchouli oil from Indonesia, Labdanum resin from Spain"
French Bouquet Eau de Parfum,BDK Parfums," Aldehyde C12, Coriander, Bergamot from Italy, Rose from Morocco, Jasmine from India, Orange blossom from Tunisia, Labdanum from Spain, Tobacco from Cuba, Vetiver from Haiti, Patchouli from Indonesia, Violet, Sandalwood, Tonka bean"
Oud Abramad Eau de Parfum,BDK Parfums," Safran, Ginger, Rose of Turkey, Cumin, Agarwood, Guaiac wood, Rockrose, Incense, Patchouli, Castoreum, Orcanox"
Rouge Smoking Eau de Parfum,BDK Parfums," Bergamot from Italy, Cherry accord, Pink berries, Black vanilla, Heliotrope, Ambroxan, Cashmeran, Tonka bean, Labdanum, White musk"
Tubereuse Imperiale Eau de Parfum,BDK Parfums," Pink peppercorn, Geranium of Egypt, Tuberose of India, Ylang Ylang of Comoros, Sambac Jasmine, Iris, Jasmine of Egypt, Cashmeran, Sandalwood, Incense of Somalia, Vanilla of Madagascar, Patchouli of Singapore, Benzoin of Sumatra, Cypress"
Nuit de Sable Eau de Parfum,BDK Parfums,"Cardamom, Nutmeg, Cumin, Absolute of rose, Rose oxide, Hot sand accord, Sandalwood, Absolute of Tonka bean, Ambroxan, Musk"
Wood Jasmin Eau de Parfum,BDK Parfums," Plum, Pear, Jasmine of Egypt, Sambac Jasmine, Rose of Turkey, Dhavanam, Incense of Somalia, Vanilla of Madagascar, Patchouli of Indonesia, Labdanum of Spain, Cypriol Nagarmotha of India"
Pas Ce Soir Eau de Parfum,BDK Parfums," Black pepper, Ginger, Mandarin, Moroccan jasmine, Quince chutney, Orange blossom, Cashmeran, Patchouli of Singapore, Amber wood"
Dolceacqua Eau de Parfum,Masque Milano," Coastal Breeze accord, Muguet, Ivy Leaves, Mediterranean Marjoram, Mimosa, Almond Flower, White Rose, Ylang-Ylang Nosy Be, Saffron Flower, Cedarwood Virginia, Benjoin Siam, Oakmoss, Silky Musks"
Black Beard Extrait de Parfum,CALAJ Perfumes," Orange, bergamot, petitgrain, artemisia, basil, bulgarian lavender, geranium, rose, carnation, tonka bean, patchouli, moss, musk, leather, tabacco, amber"
Transilvania Extrait de Parfum,CALAJ Perfumes,"Black Cherry, Rose oxyde, angelica, Jasmine, tuberose, immortelle, honey, Coumarin, opoponax, civet, musk, patchouli, vanilla, oud"
Love Toxin Extrait de Parfum,CALAJ Perfumes," Bergamot, coriander, plum, coconut, strawberry, rose oxyde, Cumin, rose, tuberose, jasmin, heliotrope, gardenia, iris, Peach, oakmoss, vanilla, hay, castoreum, opoponax, musk, leather"
Oshun Extrait de Parfum,CALAJ Perfumes," Lemon,  cinnamon, black pepper,  pine,  black currant,  Rose,  jasmine,  magnolia,  cloves,  Amber,  castoreum,  peru balsam,  tonka bean,  tobacco."
Isra & Miraj Eau de Parfum,Stephane Humbert Lucas 777," Bergamot, Tangerine, Nutmeg, Ceylan, Cinnamon, Heliotrope, Osmanthus absolute, Vanilla, Santal de Mysore, Amber, Patchouli, White Musk, Leather, Natural Oud"
Petits Papiers Eau de Parfum,Mad et Len," Paper, benzoin, gaiac, patchouli, copaiva balsam, resins"
La Danza delle Libellule Eau de Parfum,Nobile 1942," Bergamot, red apple, cedar, cinnamon, musk, vanilla and coconut."
Magnolia Grandiflora - Michel Eau de Parfum,Grandiflora," Lemon, bergamot, grapefruit, jasmine, ylang-ylang, rose, magnolia, vetiver, patchouli and musk"
Bell'Antonio Eau de Parfum,Hilde Soliani, tobacco and coffee
Golden Moka Eau de Parfum,Xerjoff," Blood orange, mandarin, lemon, coffee absolute, rose absoute, incense, Cambodian oud, amber, labdanum, green accord"
Oud Stars - Indochine Parfum,Xerjoff," Brasilian orange, strawberry, pink pepper, freesia, Bulgarian rose, muguet, peony, vanilla, oud blend, agarwood, musk"
Fatal Charme Eau de Parfum,Xerjoff - Join the Club,"lemony, fruity, musk, iris, cream soda"
Mad About You Eau de Parfum,Pierre Guillaume Paris Black Collection," Black tea, licorice, red fruits, lipstick, violet, leather"
Anti-Blues,Pierre Guillaume Paris Black Collection," Dark chocolate, saffron, grapefruit, incense, resin, amyris, cacao wood, hay, tobacco, vetiver, leather, vanilla"
Tahiti Vanilla Parfum,Farmacia SS. Annunziata dal 1561," Bergamot, Key Lime, Sage, Rosemary, Tahitian Vanilla, Jasmine, Neroli, Mimosa, Ylang Ylang, Patchouly, Sandalwood, Vetiver"
Fuyu Eau de Parfum,Tom Daxon," White peach, jasmine, iris, soft musks, cedar"
Perfumista Eau de Parfum,Anatole Lebreton," Pear, plum, raspberry, jasmine, rose, cedar, peru balsam, musk, Mousse de Saxe accord"
Douleur! Eau de Parfum,Bogue Profumo," Mint, cotton candy, seaweed, benzoin, melon, metallic notes, rose"
Ambre Stone Eau de Parfum,Anthologie de Grands Crus," Ambergris infusion, Indonesian Patchouli oil, Egyptian Jasmine absolute late crop, Moroccan Neroli oil, Indian Sandalwood oil, Italian Bergamot oil late crop"
Vanille d'Amine Eau de Parfum,Anthologie de Grands Crus," Madagascan vanilla oléorésin, Somalian Olibanum, Madagascan Clove bud oil"
Bergamote de G. Franco Eau de Parfum,Anthologie de Grands Crus," Italian Bergamot oil Grand Cru, Moroccan Mimosa absolute, Chinese Osmanthus alcoolat Grand Cru, Kashmirin Saffron"
Vetiver de Pierre Eau de Parfum,Anthologie de Grands Crus," Haitian Vetiver oil special Grand Cru, Venezuelan Tonka absolute, Ivory Coast Cacao absolute, Turkish blond tobacco"
Jasmin de Cherifa Eau de Parfum,Anthologie de Grands Crus," Egyptian Jasmine absolute Grand Cru, Egyptian Rose absolute centifolia Grand Cru (also from Cherifa's fields), Indian Sandalwood Grand Cru"
I Love YY,Bogue Profumo," Ylang ylang, grapefruit, jasmine, rose, tonka, violet leaf, vanilla, benzoin, cedar"
New York Eau de Parfum,Widian," Bergamot, mandarin, lemon, pink pepper, lavender, coriander, juniper, geranium, orris, rose, akigala, jasmine, patchouli, caramel, vetiver, cypriol, white musk, white amber, vanilla, ambergris, olibanum, tonka, tobacco"
Gold II Sahara Parfum Extrait,Widian," Saffron, orange, elemi, rose, orange blossom, amber, musk, cedar, vanilla"
Bengale Rouge Eau de Parfum,Papillon Artisan Perfumes," Turkish rose, orris, sandalwood, sweet myrrh (opoponax), oakmoss, honey, vanilla, tonka bean, benzoin, labdanum"
Avatar Eau de Parfum,Hilde Soliani," Caramel, sugar, milk, biscuits"
